unix time ms,samples
1760398695579,61386312
1760398695619,62138396
1760398695659,62100605
1760398695699,63080360
1760398695739,64350131
1760398695779,64326349
1760398695818,63250646
1760398695858,62246266
1760398695898,61800436
1760398695938,61910566
1760398695978,62052922
1760398696018,62222595
1760398696058,62400302
1760398696098,62448709
1760398696138,62484431
1760398696178,62414272
1760398696218,62136950
1760398696258,61710222
1760398696298,50760996
1760398696338,50610796
1760398696378,50470609
1760398696418,50286575
1760398696458,50229251
1760398696498,50235467
1760398696538,50359084
1760398696578,50428831
1760398696618,50519638
1760398696658,50724742
1760398696698,50681919
1760398696738,50675361
1760398696778,50683998
1760398696818,50686067
1760398696858,50638414
1760398696898,50557278
1760398696938,50177118
1760398696978,50348027
1760398697018,50608728
1760398697058,50565212
1760398697098,50504102
1760398697138,50466461
1760398697178,50378758
1760398697218,50370472
1760398697258,50356663
1760398697298,50391542
1760398697338,50378758
1760398697378,50375654
1760398697418,50354936
1760398697458,50320068
1760398697498,50224420
1760398697538,50140512
1760398697578,50056956
1760398697618,49948534
1760398697658,49884652
1760398697698,49822156
1760398697737,60515692
1760398697777,60442912
1760398697817,60369670
1760398697857,60293766
1760398697897,60227524
1760398697937,60178716
1760398697977,60131645
1760398698017,60082225
1760398698057,60028868
1760398698097,59942319
1760398698137,59815559
1760398698177,59689773
1760398698217,59582556
1760398698257,59485281
1760398698297,59388800
1760398698337,59300313
1760398698377,59207206
1760398698417,59140884
1760398698457,59106889
1760398698497,59080798
1760398698537,59037724
1760398698577,58989941
1760398698617,58942659
1760398698657,58869999
1760398698697,58719498
1760398698737,58530493
1760398698777,58375000
1760398698817,58219919
1760398698857,58071688
1760398698897,57942989
1760398698937,57713019
1760398698977,57562528
1760398699017,57622142
1760398699057,57562488
1760398699097,57401221
1760398699137,57169996
1760398699177,57007393
1760398699217,57018068
1760398699257,57207546
1760398699297,57392474
1760398699337,57426248
1760398699377,57342631
1760398699417,57344770
1760398699457,57396451
1760398699497,57448763
1760398699537,57436893
1760398699577,57424932
1760398699617,57445479
1760398699656,57418334
1760398699696,57415903
1760398699736,57427342
1760398699776,57474794
1760398699816,57502814
1760398699856,57588971
1760398699896,57610121
1760398699936,57551069
1760398699976,57347080
1760398700016,57094524
1760398700056,56816871
1760398700096,56562698
1760398700136,56296684
1760398700176,56061884
1760398700216,55884598
1760398700256,55769558
1760398700296,55763884
1760398700336,55763774
1760398700376,55798763
1760398700416,55811015
1760398700456,55837046
1760398700496,55857935
1760398700536,55866712
1760398700576,55905588
1760398700616,55970494
1760398700656,56054944
1760398700696,56172184
1760398700736,56266245
1760398700776,56336394
1760398700816,56386969
1760398700856,56426487
1760398700896,56458685
1760398700936,56472735
1760398700976,56469611
1760398701016,56456606
1760398701056,56437334
1760398701096,56398327
1760398701136,56353496
1760398701176,56288449
1760398701216,56234198
1760398701256,56190753
1760398701296,56159128
1760398701336,56133077
1760398701376,56108201
1760398701416,56087423
1760398701456,56078234
1760398701496,56079860
1760398701536,56103913
1760398701575,56120192
1760398701615,56131731
1760398701655,56135829
1760398701695,56127594
1760398701735,56117862
1760398701775,56076265
1760398701815,56026192
1760398701855,56002029
1760398701895,55986031
1760398701935,55975496
1760398701975,55960663
1760398702015,55943600
1760398702056,55930916
1760398702096,55924529
1760398702136,55917961
1760398702176,55912497
1760398702216,55908731
1760398702256,55912738
1760398702296,55925161
1760398702336,55947306
1760398702376,55961717
